CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
MST030,"Musculoskeletal procedures, NEC","Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Release, Transfer, Repair, Reposition, Division, Extirpation, Reattachment, Excision","""Upper Arm Tendon, Right"", ""Abdomen Muscle, Right"", ""Abdomen Muscle, Left"", ""Upper Arm Tendon, Left"", ""Lower Leg Muscle, Left"", ""Lower Leg Muscle, Right"", ""Trunk Muscle, Left"", ""Trunk Muscle, Right"", ""Lower Leg Tendon, Right"", Sternum, ""Lower Leg Tendon, Left"", ""Knee Joint, Right"", ""Upper Leg Muscle, Left"", ""Knee Joint, Left"", ""Upper Leg Muscle, Right"", ""Thorax Muscle, Right"", ""Thorax Muscle, Left"", ""Lower Arm and Wrist Muscle, Left"", ""Shoulder Joint, Right"", ""Lower Arm and Wrist Muscle, Right"", ""Hip Joint, Right"", ""Hip Muscle, Left"", ""Hip Joint, Left"", ""Foot Tendon, Left"", ""Hip Muscle, Right"", ""Foot Tendon, Right"", ""Neck Muscle, Left"", ""Neck Muscle, Right"", Facial Muscle, ""Upper Leg Tendon, Right"", ""Shoulder Joint, Left"", ""Shoulder Tendon, Right"", ""Ankle Tendon, Right"", ""Hand Tendon, Right"", ""Hip Tendon, Right"", ""Upper Leg Tendon, Left"", ""Hand Tendon, Left"", ""Hip Tendon, Left"", ""Foot, Left"", Skull, ""Knee Bursa and Ligament, Right"", ""Foot, Right"", ""Ankle Tendon, Left"", ""Mandible, Left"", ""Mandible, Right"", ""Knee Bursa and Ligament, Left"", Head Muscle, Lumbar Vertebra, ""Shoulder Tendon, Left"", ""Knee Tendon, Left"", ""Knee Tendon, Right"", ""Hand Muscle, Right"", ""Foot Muscle, Right"", ""Upper Arm Muscle, Right"", ""Ankle Joint, Right"", ""Hand Muscle, Left"", ""Upper Arm Muscle, Left"", ""Foot Muscle, Left"", ""Ankle Joint, Left"", ""Knee Region, Left"", ""Knee Region, Right"", ""Lower Arm and Wrist Tendon, Right"", ""Lower Arm and Wrist Tendon, Left"", Maxilla, Thoracic Vertebra, Frontal Bone, ""Elbow Region, Left"", ""Elbow Region, Right"", ""Index Finger, Left"", ""Tibia, Left"", ""Elbow Joint, Left"", ""Tibia, Right"", ""Lower Leg, Right"", ""Middle Finger, Left"", ""Hand, Right"", ""Index Finger, Right"", ""Upper Femur, Right"", Lumbar Vertebral Joint, ""Lower Leg, Left"", ""Middle Finger, Right"", ""Hand, Left"", ""Elbow Joint, Right"", Perineum Muscle, Lower Back, ""Ankle Region, Left"", ""Upper Femur, Left"", ""Thumb, Left"", ""Upper Leg, Right"", ""Lower Arm, Left"", ""Ring Finger, Left"", ""Tarsal, Right"", ""Little Finger, Left"", ""Upper Leg, Left"", ""Pelvic Bone, Right"", ""Ankle Region, Right"", ""Thumb, Right"", ""Lower Femur, Left"", ""Lower Arm, Right"", ""Lower Extremity, Right"", Cervical Vertebra, ""Abdomen Bursa and Ligament, Right"", ""Pelvic Bone, Left"", ""Temporal Bone, Left"", ""Shoulder Muscle, Right"", ""Ring Finger, Right"", ""Tarsal, Left"", ""Patella, Left"", ""Lower Femur, Right"", ""Toe Phalangeal Joint, Left"", ""Acromioclavicular Joint, Left"", Occipital Bone, ""Patella, Right"", ""Tarsal Joint, Right"", ""Temporal Bone, Right"", ""Abdomen Bursa and Ligament, Left"", ""Fibula, Right"", ""Little Finger, Right"", ""Upper Arm, Left"", ""Lower Extremity, Left"", ""Wrist Region, Left"", ""Buttock, Left"", ""Toe Phalangeal Joint, Right"", ""Metatarsal-Phalangeal Joint, Right"", ""Acetabulum, Right"", ""Shoulder Muscle, Left"", ""Parietal Bone, Right"", ""Metatarsal-Phalangeal Joint, Left"", ""Axilla, Left"", ""Fibula, Left"", ""Finger Phalangeal Joint, Right"", ""Axilla, Right"", ""Wrist Joint, Right"", ""1st Toe, Left"", ""Wrist Region, Right"", ""Wrist Joint, Left"", ""Tarsal Joint, Left"", ""Acetabulum, Left"", ""Femoral Shaft, Right"", ""Upper Arm, Right"", ""1st Toe, Right"", Cervical Vertebral Joint, ""Femoral Shaft, Left"", ""Orbit, Left"", Sacrum, ""Buttock, Right"", ""Metacarpophalangeal Joint, Right"", ""Finger Phalangeal Joint, Left"", ""Parietal Bone, Left"", ""Upper Extremity, Right"", ""Orbit, Right"", ""Upper Extremity, Left"", Cervical Vertebral Disc, ""Metatarsal, Left"", ""Metatarsal, Right"", ""2nd Toe, Left"", ""Shoulder Region, Right"", Upper Back, ""Ulna, Left"", Sphenoid Bone, ""Ribs, 1 to 2"", ""Ankle Bursa and Ligament, Right"", Lumbar Vertebral Disc, ""Humeral Shaft, Left"", Head and Neck Tendon, ""Ankle Bursa and Ligament, Left"", ""Shoulder Region, Left"", ""5th Toe, Left"", ""Humeral Shaft, Right"", ""2nd Toe, Right"", ""Toe Phalanx, Right"", Thoracic Vertebral Joint, ""Metacarpophalangeal Joint, Left"", ""Hand Bursa and Ligament, Right"", ""5th Toe, Right"", Lumbosacral Joint, ""Toe Phalanx, Left"", ""3rd Toe, Left"", ""Radius, Right"", ""Acromioclavicular Joint, Right"", ""Shoulder Bursa and Ligament, Right"", ""Ulna, Right"", ""Carpal, Right"", ""Humeral Head, Left"", ""Finger Phalanx, Right"", ""Humeral Head, Right"", ""Temporomandibular Joint, Right"", ""Lower Extremity Bursa and Ligament, Left"", ""Radius, Left"", Thoracolumbar Vertebral Joint, ""3rd Toe, Right"", ""Hip Bursa and Ligament, Left"", ""Elbow Bursa and Ligament, Left"", ""4th Toe, Left"", ""Lower Extremity Bursa and Ligament, Right"", Thoracic Vertebral Disc, Nasal Bone, ""Carpometacarpal Joint, Left"", ""Temporomandibular Joint, Left"", ""Finger Phalanx, Left"", Lumbosacral Disc, ""Carpal Joint, Left"", ""Hip Bursa and Ligament, Right"", Lower Spine Bursa and Ligament, ""Shoulder Bursa and Ligament, Left"", ""Upper Extremity Bursa and Ligament, Left"", ""Hand Bursa and Ligament, Left"", ""Metacarpal, Right"", ""Abdomen Tendon, Right"", ""Foot Bursa and Ligament, Right"", ""4th Toe, Right"", Upper Spine Bursa and Ligament, ""Abdomen Tendon, Left"", ""Foot Bursa and Ligament, Left"", ""Carpal, Left"", ""Wrist Bursa and Ligament, Right"", Sternum Bursa and Ligament, ""Tarsometatarsal Joint, Right"", Head and Neck Bursa and Ligament, ""Wrist Bursa and Ligament, Left"", ""Carpometacarpal Joint, Right"", ""Thorax Tendon, Right"", ""Trunk Tendon, Right"", ""Thorax Tendon, Left"", ""Scapula, Left"", ""Upper Extremity Bursa and Ligament, Right"", ""Elbow Bursa and Ligament, Right"", ""Ethmoid Bone, Left"", ""Ribs, 3 or More"", ""Trunk Tendon, Left"", ""Scapula, Right"", ""Zygomatic Bone, Right"", ""Glenoid Cavity, Right"", Thoracolumbar Vertebral Disc, ""Carpal Joint, Right"", ""Clavicle, Left"", Cervicothoracic Vertebral Joint, ""Tarsometatarsal Joint, Left"", ""Ethmoid Bone, Right"", Sacrococcygeal Joint, Perineum Bursa and Ligament, ""Sacroiliac Joint, Left"", ""Metacarpal, Left"", ""Palatine Bone, Right"", ""Thumb Phalanx, Left"", ""Clavicle, Right"", Cervicothoracic Vertebral Disc, Perineum Tendon, ""Sternoclavicular Joint, Left"", ""Sternoclavicular Joint, Right"", ""Glenoid Cavity, Left"", ""Sacroiliac Joint, Right"", Hyoid Bone",No Device,"Open, Percutaneous Endoscopic, External, Percutaneous"
NCM001,Planar nuclear medicine imaging,Nuclear Medicine,Planar Nuclear Medicine Imaging,"Lungs and Bronchi, ""Hepatobiliary System, All"", Myocardium, ""Lymphatics, Upper Chest"", Whole Body, Gallbladder, Gastrointestinal Tract, ""Heart, Right and Left"", ""Musculoskeletal System, All"", ""Kidneys, Ureters and Bladder"", Heart, Upper Gastrointestinal Tract, Liver, Blood, Hepatobiliary System and Pancreas, Brain, Respiratory System, ""Lymphatics, Upper Extremity"", Digestive System, ""Lower Extremity, Right"", ""Lymphatics, Trunk"", ""Lower Extremity, Left"", ""Lymphatics, Lower Extremity"", Abdomen, Bone Marrow, Abdomen and Pelvis, ""Lymphatics, Neck"", Chest, Urinary System, Lower Extremity, Cerebrospinal Fluid, ""Musculoskeletal System, Other"", Spine and Pelvis, Spine, ""Lymphatics, Pelvic"", Parathyroid Glands, Liver and Spleen, ""Lymphatics, Head and Neck"", Thyroid Gland, Skull, ""Lower Extremities, Bilateral"", ""Breast, Left"", ""Breast, Right"", Pelvic Region, ""Breasts, Bilateral"", Chest and Neck, Central Veins, Central Nervous System, ""Adrenal Glands, Bilateral"", Endocrine System, Veins, ""Upper Extremity, Left"", ""Upper Extremity Veins, Right"", Pelvis",None,"Technetium 99m (Tc-99m), Other Radionuclide, Xenon 133 (Xe-133), Indium 111 (In-111), None, Gallium 67 (Ga-67), Thallium 201 (Tl-201), Iodine 123 (I-123), Iodine 131 (I-131)"
NCM002,Tomographic nuclear medicine imaging,Nuclear Medicine,Tomographic (Tomo) Nuclear Medicine Imaging,"Myocardium, Lungs and Bronchi, Hepatobiliary System and Pancreas, Gallbladder, Gastrointestinal Tract, ""Heart, Right and Left"", ""Musculoskeletal System, Other"", Abdomen and Pelvis, Heart, ""Anatomical Regions, Multiple"", Liver, Brain, ""Kidneys, Ureters and Bladder"", Lymphatic and Hematologic System, Chest, Urinary System, Digestive System, Head and Neck, ""Lower Extremities, Bilateral"", Respiratory System, Lumbar Spine, Cerebrospinal Fluid, Liver and Spleen, Abdomen, Endocrine System, ""Lower Extremity, Left"", ""Lower Extremity, Right"", Thoracic Spine, Spine and Pelvis, Chest and Abdomen, Lower Extremity, Spleen, Upper Extremity, ""Upper Extremities, Bilateral"", Parathyroid Glands",None,"Technetium 99m (Tc-99m), Other Radionuclide, Thallium 201 (Tl-201), Iodine 123 (I-123), None, Indium 111 (In-111)"
NCM003,Radionuclide therapy and non-imaging procedures,Nuclear Medicine,"Systemic Nuclear Medicine Therapy, Nonimaging Nuclear Medicine Assay, Nonimaging Nuclear Medicine Uptake, Nonimaging Nuclear Medicine Probe","Thyroid, ""Kidneys, Ureters and Bladder"", Thyroid Gland, Whole Body, Urinary System, Blood, Lower Extremity, Chest, Pelvic Region, ""Lymphatics, Upper Chest"", Abdomen, Central Nervous System, ""Lymphatics, Neck"", ""Lymphatics, Pelvic""",None,"Iodine 131 (I-131), Other Radionuclide, Technetium 99m (Tc-99m)"
NCM004,Positron emission tomographic (PET) imaging,Nuclear Medicine,Positron Emission Tomographic (PET) Imaging,"Myocardium, Whole Body, Brain, Heart, Central Nervous System, Lungs and Bronchi",None,"Other Radionuclide, Rubidium 82 (Rb-82), Fluorine 18 (F-18)"
OST001,Osteopathic treatment,Osteopathic Treatment,Treatment,"Thoracic, Head, Cervical, Rib Cage, Sacrum, Abdomen, Lumbar, Pelvis, Upper Extremities, Lower Extremities","Other Method, Fascial Release, General Mobilization, Indirect, Articulatory-Raising, Muscle Energy-Isometric, Lymphatic Pump, Muscle Energy-Isotonic, High Velocity-Low Amplitude",External
OTR001,Robotic-assisted procedures,Other Procedures,Other Procedures,"Trunk Region, Lower Extremity, Head and Neck Region, Upper Extremity",Robotic Assisted Procedure,"Percutaneous Endoscopic, Open, Percutaneous, Via Natural or Artificial Opening Endoscopic, External, Via Natural or Artificial Opening"
OTR002,Computer-assisted procedures,Other Procedures,Other Procedures,"Head and Neck Region, Trunk Region, Lower Extremity, Upper Extremity",Computer Assisted Procedure,External
OTR003,Fluorescence-guided procedures,Other Procedures,Other Procedures,"Trunk Region, Head and Neck Region, Lower Extremity, Upper Extremity",Fluorescence Guided Procedure,"Percutaneous, Open, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening"
OTR004,Isolation procedures,Other Procedures,Other Procedures,None,Other Method,External
OTR005,Therapeutic massage and related procedures,Other Procedures,Other Procedures,"Musculoskeletal System, Integumentary System and Breast, None","Therapeutic Massage, Acupuncture, Other Method","External, Percutaneous"
PGN001,Fetal heart rate monitoring,Pregnancy-Related Procedures,"Monitoring, Insertion, Measurement, Inspection, Drainage, Introduction, Removal, Change","""Products of Conception, Cardiac"", Products of Conception, ""Products of Conception, Nervous""","Rate, Monitoring Electrode, Electrical Activity, Rhythm, Sound, No Device, Pressure, Other Diagnostic Substance, Conductivity","External, Via Natural or Artificial Opening, Percutaneous, Via Natural or Artificial Opening Endoscopic, Open, Percutaneous Endoscopic"
PGN002,Spontaneous vaginal delivery,Pregnancy-Related Procedures,Delivery,Products of Conception,No Device,External
PGN003,Cesarean section,Pregnancy-Related Procedures,Extraction,Products of Conception,No Device,Open
PGN004,Assisted vaginal delivery,Pregnancy-Related Procedures,"Drainage, Extraction, Reposition",Products of Conception,No Device,"Via Natural or Artificial Opening, External, Percutaneous, Open, Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic"
PGN005,Episiotomy,Pregnancy-Related Procedures,Division,"""Perineum, Female""",No Device,External
PGN006,Removal of placenta and other retained products of conception,Pregnancy-Related Procedures,"Extraction, Inspection","""Products of Conception, Retained""",No Device,"Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic, External, Open"
PGN007,Removal of ectopic pregnancy,Pregnancy-Related Procedures,"Resection, Extraction, Inspection","""Products of Conception, Ectopic""",No Device,"Percutaneous Endoscopic, Open, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, External, Percutaneous"
PGN008,Abortion,Pregnancy-Related Procedures,Abortion,Products of Conception,No Device,"Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic, Percutaneous, Percutaneous Endoscopic"
PGN009,"Pregnancy and fetal procedures, NEC",Pregnancy-Related Procedures,"Insertion, Introduction, Drainage, Repair, Transfusion, Removal, Change","Products of Conception, ""Products of Conception, Circulatory""","Other Device, Electrolytic and Water Balance Substance, Other Therapeutic Substance, No Device, Red Blood Cells, Anti-inflammatory, Anti-infective, Frozen Plasma, Whole Blood, Fresh Plasma, Platelets, Globulin, Anesthetic Agent, Antineoplastic, Destructive Agent, Frozen Red Cells, Plasma Cryoprecipitate, ""Analgesics, Hypnotics, Sedatives"", Serum Albumin","Via Natural or Artificial Opening, Percutaneous, Percutaneous Endoscopic, Open, Via Natural or Artificial Opening Endoscopic"
PLC001,Immobilization by splint or other external device,Dressings and Other Placements,"Immobilization, Traction, Removal, Change","Head, ""Lower Leg, Right"", ""Lower Extremity, Right"", ""Lower Extremity, Left"", ""Lower Leg, Left"", ""Lower Arm, Left"", ""Lower Arm, Right"", ""Upper Leg, Right"", Neck, ""Upper Leg, Left"", ""Upper Extremity, Left"", Face, ""Upper Extremity, Right"", ""Upper Arm, Right"", ""Upper Arm, Left"", Back, ""Hand, Left"", ""Hand, Right"", ""Foot, Right"", ""Foot, Left"", ""Finger, Left"", ""Finger, Right"", ""Thumb, Right"", ""Thumb, Left"", ""Toe, Right"", Abdominal Wall, ""Inguinal Region, Left"", Chest Wall, ""Inguinal Region, Right"", ""Toe, Left""","Splint, Other Device, Traction Apparatus, Cast, No Device, Brace, Wire",External
PLC002,Packing and dressing procedures,Dressings and Other Placements,"Compression, Packing, Change, Dressing, Removal","Nasal, Abdominal Wall, Back, Chest Wall, ""Lower Extremity, Left"", ""Lower Extremity, Right"", Female Genital Tract, ""Lower Leg, Right"", ""Lower Leg, Left"", ""Foot, Left"", ""Foot, Right"", ""Upper Leg, Right"", ""Upper Leg, Left"", ""Inguinal Region, Left"", ""Inguinal Region, Right"", ""Upper Arm, Left"", ""Upper Extremity, Right"", ""Upper Extremity, Left"", ""Lower Arm, Right"", ""Upper Arm, Right"", ""Lower Arm, Left"", Neck, ""Hand, Right"", ""Hand, Left"", Face, Mouth and Pharynx, Head, ""Toe, Left"", ""Toe, Right"", Anorectal, ""Finger, Right"", ""Finger, Left"", Ear, ""Thumb, Left"", Urethra, ""Thumb, Right""","Pressure Dressing, Packing Material, Bandage, Other Device, Intermittent Pressure Device",External
PNS001,Lumbosacral nerve decompression,Peripheral Nervous System Procedures,Release,"Lumbar Nerve, Sacral Nerve, Lumbosacral Plexus, Lumbar Plexus, Lumbar Sympathetic Nerve, Sacral Plexus, Sacral Sympathetic Nerve",No Device,"Open, Percutaneous, Percutaneous Endoscopic"
PNS002,Cervicothoracic nerve decompression,Peripheral Nervous System Procedures,Release,"Cervical Nerve, Thoracic Nerve, Cervical Plexus, Thoracic Sympathetic Nerve",No Device,"Open, Percutaneous, Percutaneous Endoscopic"
PNS003,Peripheral nerve decompression (excluding lumbosacral and cervicothoracic),Peripheral Nervous System Procedures,Release,"Median Nerve, Ulnar Nerve, Brachial Plexus, Radial Nerve, Sciatic Nerve, Peroneal Nerve, Tibial Nerve, Femoral Nerve, Abdominal Sympathetic Nerve, Phrenic Nerve, Head and Neck Sympathetic Nerve, Pudendal Nerve",No Device,"Open, Percutaneous Endoscopic, Percutaneous"
PNS004,Nerve repair,Peripheral Nervous System Procedures,"Repair, Supplement","Ulnar Nerve, Radial Nerve, Median Nerve, Thoracic Nerve, Peroneal Nerve, Tibial Nerve, Sciatic Nerve, Head and Neck Sympathetic Nerve, Brachial Plexus, Femoral Nerve, Lumbar Nerve, Cervical Nerve, Pudendal Nerve, Sacral Nerve, Lumbar Plexus, Phrenic Nerve, Abdominal Sympathetic Nerve, Cervical Plexus, Thoracic Sympathetic Nerve, Lumbosacral Plexus, Sacral Plexus","No Device, Nonautologous Tissue Substitute, Autologous Tissue Substitute, Synthetic Substitute","Open, Percutaneous Endoscopic, Percutaneous"
PNS005,Peripheral nerve denervation,Peripheral Nervous System Procedures,"Excision, Destruction, Division, Extraction","Thoracic Nerve, Lumbar Nerve, Radial Nerve, Thoracic Sympathetic Nerve, Tibial Nerve, Sacral Nerve, Head and Neck Sympathetic Nerve, Femoral Nerve, Peroneal Nerve, Cervical Nerve, Ulnar Nerve, Abdominal Sympathetic Nerve, Brachial Plexus, Sciatic Nerve, Median Nerve, Phrenic Nerve, Lumbar Plexus, Lumbar Sympathetic Nerve, Cervical Plexus, Pudendal Nerve, Lumbosacral Plexus, Sacral Plexus, Sacral Sympathetic Nerve",No Device,"Open, Percutaneous Endoscopic, Percutaneous"
PNS006,"Peripheral nerve procedures, NEC",Peripheral Nervous System Procedures,"Reposition, Transfer, Excision, Replacement, Inspection, Insertion, Removal, Drainage, Extirpation, Other Procedures, Revision","Ulnar Nerve, Peripheral Nerve, Tibial Nerve, Peroneal Nerve, Radial Nerve, Median Nerve, Thoracic Nerve, Femoral Nerve, Sciatic Nerve, Cervical Nerve, Lumbar Nerve, Head and Neck Sympathetic Nerve, Brachial Plexus, Phrenic Nerve, Sacral Nerve, Nervous System, Abdominal Sympathetic Nerve, Thoracic Sympathetic Nerve, Lumbosacral Plexus, Pudendal Nerve, Lumbar Plexus, Cervical Plexus, Lumbar Sympathetic Nerve","No Device, Neurostimulator Lead, Nonautologous Tissue Substitute, Autologous Tissue Substitute, Other Device, Synthetic Substitute, Monitoring Device, Collection, Drainage Device, Other Method","Open, Percutaneous, Percutaneous Endoscopic, External"
RAD001,Beam radiation,Radiation Therapy,Beam Radiation,"Other Bone, Brain, Lung, Head and Neck, Pelvic Region, Pelvic Bones, Spinal Cord, Femur, Whole Body, Chest, Abdomen, Esophagus, Rectum, Mediastinum, Bladder, Humerus, Skull, Oropharynx, Stomach, Rib(s), Cervix, Pancreas, Uterus, Prostate, ""Lymphatics, Neck"", Larynx, Tongue, ""Breast, Right"", Liver, ""Breast, Left"", ""Lymphatics, Pelvis"", Sternum, ""Skin, Arm"", ""Lymphatics, Inguinal"", Bronchus, Tibia/Fibula, ""Skin, Leg"", Eye, ""Lymphatics, Axillary"", Brain Stem, Nasopharynx, ""Lymphatics, Abdomen"", Hemibody, ""Lymphatics, Thorax"", Sinuses, Mouth, Chest Wall, Hypopharynx, Colon, Kidney, Spleen, Peripheral Nerve, Thyroid, Adrenal Glands, Radius/Ulna, Ovary, Trachea, ""Skin, Face"", Bone Marrow, Duodenum, Salivary Glands, ""Skin, Abdomen"", Bile Ducts, ""Skin, Back"", ""Skin, Chest"", ""Skin, Neck"", Pleura, Soft Palate, ""Skin, Buttock"", Testis, Ear, Mandible, Ileum, Nose, Pineal Body, Jejunum, Ureter",None,"Photons 1 - 10 MeV, Photons >10 MeV, Electrons, ""Heavy Particles (Protons,Ions)"", Photons <1 MeV, Neutrons, Neutron Capture"
RAD002,Brachytherapy,Radiation Therapy,"Brachytherapy, Insertion, Removal, Introduction","Cervix, ""Eye, Left"", Uterus, ""Eye, Right"", Pelvic Region, Brain, Eye, Vagina, Prostate, Genitourinary Tract, Rectum, Liver, Cranial Cavity, Vagina and Cul-de-sac, Pelvic Cavity, Female Reproductive, Head and Neck, ""Lung, Right"", ""Perineum, Female"", Lower Extremity, Colon, Spinal Cord, Bladder, ""Lymphatics, Neck"", Uterus and Cervix, Peritoneal Cavity, ""Breast, Left"", ""Lung, Left"", Thyroid, Lung, Gastrointestinal Tract, Retroperitoneum, Tongue, ""Lower Extremity, Right"", Upper Back, ""Lower Arm, Right"", Biliary and Pancreatic Tract, Lower GI, ""Subcutaneous Tissue and Fascia, Trunk"", Upper Extremity, ""Subcutaneous Tissue and Fascia, Lower Extremity"", ""Breast, Right"", Neck, Respiratory Tract, ""Upper Leg, Left"", ""Axilla, Left"", Bile Ducts, ""Lymphatics, Inguinal"", Male Reproductive, Peripheral Nerve, Tracheobronchial Tree, Chest, Abdomen, Stomach, Bronchus, Lower Back, Urethra, Cranial Cavity and Brain, Chest Wall, ""Buttock, Right""","Radioactive Element, Other Isotope, Iridium 192 (Ir-192), Iodine 125 (I-125), ""Radioactive Element, Cesium-131 Collagen Implant"", Palladium 103 (Pd-103), Cesium 137 (Cs-137), Antineoplastic, Cesium 131 (Cs-131)","High Dose Rate (HDR), Low Dose Rate (LDR), Percutaneous, Open, Via Natural or Artificial Opening, External, Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic"
RAD003,Stereotactic radiosurgery,Radiation Therapy,Stereotactic Radiosurgery,"Brain, Head and Neck, Brain Stem, Spinal Cord, Lung, Chest, Pelvic Region, Pituitary Gland, Liver, Sinuses, Stomach, Esophagus, Tongue, Colon, Kidney, Mediastinum, ""Breast, Right""",None,"Stereotactic Other Photon Radiosurgery, Stereotactic Gamma Beam Radiosurgery, Stereotactic Particulate Radiosurgery"
RAD004,"Radiation therapy, NEC",Radiation Therapy,"Other Radiation, Introduction","Peripheral Vein, Brain, Other Bone, Whole Body, Spinal Cord, Head and Neck, Lung, Pelvic Region, Femur, Eye, Lymphatics, Rectum, Abdomen, Pelvic Bones, Chest, Esophagus, Pancreas, Lower GI, Upper GI, Mouth and Pharynx, Bladder, Prostate, Liver, Female Reproductive, Stomach, Thyroid, Genitourinary Tract, Cervix, Mouth, Larynx, Mediastinum, Oropharynx, Central Vein, Colon, Peripheral Artery, Hemibody, Skull, Respiratory Tract, Cranial Cavity and Brain, ""Breast, Right"", Peripheral Nerve, Humerus, Brain Stem, Uterus, Rib(s), Bronchus, Kidney, Pharynx, Duodenum, Anus, Chest Wall, Tibia/Fibula, ""Skin, Arm"", Hypopharynx, Subcutaneous Tissue, Spinal Canal, Biliary and Pancreatic Tract, Trachea, ""Breast, Left"", Tongue, Radius/Ulna, Testis, Nasopharynx, Peritoneal Cavity, ""Skin, Back"", Pituitary Gland, Pleural Cavity, ""Skin, Chest"", Pleura, ""Skin, Leg"", Ear, ""Lymphatics, Abdomen"", ""Lymphatics, Inguinal"", ""Lymphatics, Pelvis"", Sternum, ""Skin, Face"", ""Skin, Neck"", ""Lymphatics, Neck"", Hard Palate","None, Radioactive Substance, Iodine 131 (I-131), Other Isotope, Phosphorus 32 (P-32)","Percutaneous, Contact Radiation, Laser Interstitial Thermal Therapy, Plaque Radiation, Intraoperative Radiation Therapy (IORT), Isotope Administration, Via Natural or Artificial Opening, Hyperthermia, Via Natural or Artificial Opening Endoscopic, Open, External"
RES001,Bronchoscopy (diagnostic),Respiratory System Procedures,"Drainage, Inspection, Extraction, Excision","Tracheobronchial Tree, ""Lower Lung Lobe, Right"", ""Middle Lung Lobe, Right"", ""Lower Lung Lobe, Left"", ""Upper Lung Lobe, Right"", ""Upper Lung Lobe, Left"", Lung Lingula, ""Lower Lobe Bronchus, Right"", ""Lungs, Bilateral"", ""Main Bronchus, Right"", ""Upper Lobe Bronchus, Right"", ""Main Bronchus, Left"", ""Lower Lobe Bronchus, Left"", Trachea, ""Upper Lobe Bronchus, Left"", ""Middle Lobe Bronchus, Right"", ""Lung, Right"", ""Lung, Left"", Carina, Lingula Bronchus, ""Pleura, Right"", Respiratory Tract, ""Pleura, Left"", Pleura, Diaphragm",No Device,Via Natural or Artificial Opening Endoscopic
RES002,"Lung, pleura, or diaphragm biopsy (non-endoscopic)",Respiratory System Procedures,"Excision, Drainage, Inspection, Extraction","""Upper Lung Lobe, Right"", ""Lower Lung Lobe, Right"", ""Upper Lung Lobe, Left"", ""Lower Lung Lobe, Left"", ""Pleura, Right"", ""Middle Lung Lobe, Right"", ""Lung, Right"", ""Pleura, Left"", ""Lung, Left"", Diaphragm, Pleura, ""Pleural Cavity, Right"", Lung Lingula, ""Lungs, Bilateral"", ""Pleural Cavity, Left"", Trachea, Respiratory Tract, ""Upper Lobe Bronchus, Right"", ""Lower Lobe Bronchus, Right"", ""Upper Lobe Bronchus, Left"", ""Middle Lobe Bronchus, Right"", ""Main Bronchus, Left"", ""Lower Lobe Bronchus, Left"", ""Main Bronchus, Right"", Tracheobronchial Tree, Carina, Lingula Bronchus",No Device,"Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening, Open, External"
RES003,Thoracentesis (diagnostic),Respiratory System Procedures,Drainage,"""Pleural Cavity, Right"", ""Pleural Cavity, Left""",No Device,Percutaneous
RES004,Bronchoscopy (therapeutic),Respiratory System Procedures,"Drainage, Extirpation, Fragmentation","""Main Bronchus, Left"", ""Main Bronchus, Right"", ""Lower Lobe Bronchus, Left"", ""Lower Lobe Bronchus, Right"", ""Upper Lobe Bronchus, Right"", ""Middle Lobe Bronchus, Right"", ""Upper Lobe Bronchus, Left"", Trachea, ""Lower Lung Lobe, Right"", ""Lower Lung Lobe, Left"", ""Lungs, Bilateral"", Respiratory Tract, ""Middle Lung Lobe, Right"", ""Upper Lung Lobe, Right"", Lingula Bronchus, Carina, ""Upper Lung Lobe, Left"", ""Lung, Left"", ""Lung, Right"", Lung Lingula, ""Pleura, Right"", ""Pleura, Left""","No Device, Drainage Device","Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening"
RES005,Chest tube placement and therapeutic thoracentesis,Respiratory System Procedures,"Drainage, Removal, Change, Revision, Extirpation","""Pleural Cavity, Right"", ""Pleural Cavity, Left"", ""Pleura, Right"", ""Pleura, Left"", Pleura, Diaphragm","Drainage Device, No Device","Percutaneous, External"
RES006,Open and thoracoscopic pleural drainage,Respiratory System Procedures,"Drainage, Extirpation, Removal, Revision","""Pleural Cavity, Right"", ""Pleural Cavity, Left"", ""Pleura, Right"", ""Pleura, Left"", Diaphragm, Pleura","Drainage Device, No Device","Open, Percutaneous Endoscopic"
RES007,Airway intubation,Respiratory System Procedures,Insertion,"Trachea, Esophagus","""Intraluminal Device, Endotracheal Airway"", ""Intraluminal Device, Airway""","Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
